Iteration,Cost,Temperature,Sequence
0,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
1,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
2,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
3,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
4,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
5,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
6,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
7,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
8,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
9,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
10,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
11,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
12,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
13,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
14,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
15,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
16,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
17,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
18,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
19,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
20,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
21,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
22,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
23,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
24,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
25,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
26,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
27,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
28,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
29,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
30,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
31,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
32,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
33,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
34,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
35,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
36,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
37,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
38,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
39,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
40,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
41,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
42,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
43,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
44,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
45,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
46,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
47,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
48,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
49,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
50,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
51,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
52,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
53,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
54,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
55,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
56,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
57,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
58,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
59,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
60,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
61,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
62,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
63,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
64,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
65,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
66,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
67,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
68,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
69,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
70,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
71,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
72,97,-4,60517,7 5 2 6 4 3 11 12 1 8 9 10
