Iteration,Cost,Temperature,Sequence
0,40,0,5 3 6 4 2 1
1,40,0,5 3 6 4 2 1
2,40,0,5 3 6 4 2 1
3,40,0,5 3 6 4 2 1
4,40,0,5 3 6 4 2 1
5,40,0,5 3 6 4 2 1
6,40,0,5 3 6 4 2 1
7,40,0,5 3 6 4 2 1
8,40,0,5 3 6 4 2 1
9,40,0,5 3 6 4 2 1
10,40,0,5 3 6 4 2 1
11,40,0,5 3 6 4 2 1
12,40,0,5 3 6 4 2 1
13,40,0,5 3 6 4 2 1
14,40,0,5 3 6 4 2 1
15,40,0,5 3 6 4 2 1
16,40,0,5 3 6 4 2 1
17,40,0,5 3 6 4 2 1
18,40,0,5 3 6 4 2 1
19,40,0,5 3 6 4 2 1
20,40,0,5 3 6 4 2 1
21,40,0,5 3 6 4 2 1
22,40,0,5 3 6 4 2 1
23,40,0,5 3 6 4 2 1
24,40,0,5 3 6 4 2 1
25,40,0,5 3 6 4 2 1
26,40,0,5 3 6 4 2 1
27,40,0,5 3 6 4 2 1
28,40,0,5 3 6 4 2 1
29,40,0,5 3 6 4 2 1
30,40,0,5 3 6 4 2 1
31,40,0,5 3 6 4 2 1
32,40,0,5 3 6 4 2 1
33,40,0,5 3 6 4 2 1
34,40,0,5 3 6 4 2 1
35,40,0,5 3 6 4 2 1
36,40,0,5 3 6 4 2 1
37,40,0,5 3 6 4 2 1
38,40,0,5 3 6 4 2 1
39,40,0,5 3 6 4 2 1
40,40,0,5 3 6 4 2 1
41,40,0,5 3 6 4 2 1
42,40,0,5 3 6 4 2 1
43,40,0,5 3 6 4 2 1
44,40,0,5 3 6 4 2 1
45,40,0,5 3 6 4 2 1
46,40,0,5 3 6 4 2 1
47,40,0,5 3 6 4 2 1
48,40,0,5 3 6 4 2 1
49,40,0,5 3 6 4 2 1
