Iteration,Cost,Temperature,Sequence
0,40,35,5 3 6 4 2 1
1,52,17,5,5 4 6 3 2 1
2,54,8,75,5 4 6 1 2 3
3,48,4,375,5 6 4 1 2 3
4,55,2,1875,5 6 4 1 3 2
5,47,1,09375,1 6 4 5 3 2
6,49,0,546875,6 1 4 5 3 2
7,53,0,2734375,6 4 1 5 3 2
8,47,0,1367188,6 4 1 2 3 5
9,47,0,06835938,6 4 1 2 3 5
10,51,0,03417969,6 4 3 2 1 5
11,43,0,01708984,6 4 3 5 1 2
12,33,0,008544922,6 5 3 4 1 2
13,33,0,004272461,6 5 3 4 1 2
14,33,0,00213623,6 5 3 4 1 2
15,33,0,001068115,6 5 3 4 1 2
16,33,0,0005340576,6 5 3 4 1 2
17,33,0,0002670288,6 5 3 4 1 2
18,33,0,0001335144,6 5 3 4 1 2
19,33,6,67572E-05,6 5 3 4 1 2
20,33,3,33786E-05,6 5 3 4 1 2
21,33,1,66893E-05,6 5 3 4 1 2
22,33,8,34465E-06,6 5 3 4 1 2
23,33,4,172325E-06,6 5 3 4 1 2
24,33,2,086163E-06,6 5 3 4 1 2
25,33,1,043081E-06,6 5 3 4 1 2
26,33,5,215406E-07,6 5 3 4 1 2
27,33,2,607703E-07,6 5 3 4 1 2
28,33,1,303852E-07,6 5 3 4 1 2
29,33,6,519258E-08,6 5 3 4 1 2
30,33,3,259629E-08,6 5 3 4 1 2
31,33,1,629815E-08,6 5 3 4 1 2
32,33,8,149073E-09,6 5 3 4 1 2
33,33,4,074536E-09,6 5 3 4 1 2
34,33,2,037268E-09,6 5 3 4 1 2
35,33,1,018634E-09,6 5 3 4 1 2
36,33,5,09317E-10,6 5 3 4 1 2
37,33,2,546585E-10,6 5 3 4 1 2
38,33,1,273293E-10,6 5 3 4 1 2
39,33,6,366463E-11,6 5 3 4 1 2
40,33,3,183231E-11,6 5 3 4 1 2
41,33,1,591616E-11,6 5 3 4 1 2
42,33,7,958079E-12,6 5 3 4 1 2
43,33,3,979039E-12,6 5 3 4 1 2
44,33,1,98952E-12,6 5 3 4 1 2
45,33,9,947598E-13,6 5 3 4 1 2
46,33,4,973799E-13,6 5 3 4 1 2
47,33,2,4869E-13,6 5 3 4 1 2
48,33,1,24345E-13,6 5 3 4 1 2
49,30,6,217249E-14,6 5 3 4 2 1
50,30,3,108624E-14,6 5 3 4 2 1
51,30,1,554312E-14,6 5 3 4 2 1
52,30,7,771561E-15,6 5 3 4 2 1
53,30,3,885781E-15,6 5 3 4 2 1
54,30,1,94289E-15,6 5 3 4 2 1
55,30,9,714451E-16,6 5 3 4 2 1
56,30,4,857226E-16,6 5 3 4 2 1
57,30,2,428613E-16,6 5 3 4 2 1
58,30,1,214306E-16,6 5 3 4 2 1
59,30,6,071532E-17,6 5 3 4 2 1
60,30,3,035766E-17,6 5 3 4 2 1
61,30,1,517883E-17,6 5 3 4 2 1
62,30,7,589415E-18,6 5 3 4 2 1
63,30,3,794708E-18,6 5 3 4 2 1
64,30,1,897354E-18,6 5 3 4 2 1
65,30,9,486769E-19,6 5 3 4 2 1
66,30,4,743385E-19,6 5 3 4 2 1
67,30,2,371692E-19,6 5 3 4 2 1
68,30,1,185846E-19,6 5 3 4 2 1
69,30,5,929231E-20,6 5 3 4 2 1
70,30,2,964615E-20,6 5 3 4 2 1
71,30,1,482308E-20,6 5 3 4 2 1
72,30,7,411538E-21,6 5 3 4 2 1
73,30,3,705769E-21,6 5 3 4 2 1
74,30,1,852885E-21,6 5 3 4 2 1
75,30,9,264423E-22,6 5 3 4 2 1
76,30,4,632211E-22,6 5 3 4 2 1
77,30,2,316106E-22,6 5 3 4 2 1
78,30,1,158053E-22,6 5 3 4 2 1
79,30,5,790264E-23,6 5 3 4 2 1
80,30,2,895132E-23,6 5 3 4 2 1
81,30,1,447566E-23,6 5 3 4 2 1
