Iteration,Cost,Temperature,Sequence
0,40,10,5 3 6 4 2 1
1,52,5,5 4 6 3 2 1
2,54,2,5,5 4 6 1 2 3
3,48,1,25,5 6 4 1 2 3
4,55,0,625,5 6 4 1 3 2
5,47,0,3125,1 6 4 5 3 2
6,49,0,15625,6 1 4 5 3 2
7,53,0,078125,6 4 1 5 3 2
8,47,0,0390625,6 4 1 2 3 5
9,47,0,01953125,6 4 1 2 3 5
10,47,0,009765625,6 4 1 2 3 5
11,47,0,004882813,6 4 1 2 3 5
12,43,0,002441406,6 4 2 1 3 5
13,43,0,001220703,6 4 2 1 3 5
14,43,0,0006103516,6 4 2 1 3 5
15,43,0,0003051758,6 4 2 1 3 5
16,43,0,0001525879,6 4 2 1 3 5
17,43,7,629395E-05,6 4 2 1 3 5
18,43,3,814697E-05,6 4 2 1 3 5
19,43,1,907349E-05,6 4 2 1 3 5
20,43,9,536743E-06,6 4 2 1 3 5
21,43,4,768372E-06,6 4 2 1 3 5
22,43,2,384186E-06,6 4 2 1 3 5
23,43,1,192093E-06,6 4 2 1 3 5
24,43,5,960464E-07,6 4 2 1 3 5
25,37,2,980232E-07,1 4 2 6 3 5
26,37,1,490116E-07,1 4 2 6 3 5
27,37,7,450581E-08,1 4 2 6 3 5
28,37,3,72529E-08,1 4 2 6 3 5
29,37,1,862645E-08,1 4 2 6 3 5
30,37,9,313226E-09,1 4 2 6 3 5
31,37,4,656613E-09,1 4 2 6 3 5
32,37,2,328306E-09,1 4 2 3 6 5
33,37,1,164153E-09,1 4 2 3 6 5
34,37,5,820766E-10,3 4 2 1 6 5
35,37,2,910383E-10,3 4 2 1 6 5
36,37,1,455192E-10,3 4 2 1 6 5
37,37,7,275958E-11,3 4 2 1 6 5
38,37,3,637979E-11,3 4 2 1 6 5
39,37,1,818989E-11,3 4 2 1 6 5
40,37,9,094947E-12,3 4 2 1 6 5
41,37,4,547474E-12,1 4 2 3 6 5
42,27,2,273737E-12,1 2 4 3 6 5
43,27,1,136868E-12,1 2 4 3 6 5
44,27,5,684342E-13,1 2 4 3 6 5
45,27,2,842171E-13,1 2 4 3 6 5
46,27,1,421085E-13,1 2 4 3 6 5
47,27,7,105427E-14,1 2 4 3 6 5
48,27,3,552714E-14,1 2 4 3 6 5
49,27,1,776357E-14,1 2 4 3 6 5
50,25,8,881784E-15,1 2 4 3 5 6
51,25,4,440892E-15,1 2 4 3 5 6
52,25,2,220446E-15,1 2 4 3 5 6
53,25,1,110223E-15,1 2 4 3 5 6
54,25,5,551115E-16,1 2 4 3 5 6
55,25,2,775558E-16,1 2 4 3 5 6
56,25,1,387779E-16,1 2 4 3 5 6
57,25,6,938894E-17,1 2 4 3 5 6
58,25,3,469447E-17,1 2 4 3 5 6
59,25,1,734723E-17,1 2 4 3 5 6
60,25,8,673617E-18,1 2 4 3 5 6
61,25,4,336809E-18,1 2 4 3 5 6
62,25,2,168404E-18,1 2 4 3 5 6
63,25,1,084202E-18,1 2 4 3 5 6
64,25,5,421011E-19,1 2 4 3 5 6
65,25,2,710505E-19,1 2 4 3 5 6
66,25,1,355253E-19,1 2 4 3 5 6
67,25,6,776264E-20,1 2 4 3 5 6
68,25,3,388132E-20,1 2 4 3 5 6
69,25,1,694066E-20,1 2 4 3 5 6
70,25,8,470329E-21,1 2 4 3 5 6
71,25,4,235165E-21,1 2 4 3 5 6
72,25,2,117582E-21,1 2 4 3 5 6
73,25,1,058791E-21,1 2 4 3 5 6
74,25,5,293956E-22,1 2 4 3 5 6
75,25,2,646978E-22,1 2 4 3 5 6
76,25,1,323489E-22,1 2 4 3 5 6
77,25,6,617445E-23,1 2 4 3 5 6
78,25,3,308722E-23,1 2 4 3 5 6
79,25,1,654361E-23,1 2 4 3 5 6
80,25,8,271806E-24,1 2 4 3 5 6
81,25,4,135903E-24,1 2 4 3 5 6
82,25,2,067952E-24,1 2 4 3 5 6
83,25,1,033976E-24,1 2 4 3 5 6
84,25,5,169879E-25,1 2 4 3 5 6
85,25,2,584939E-25,1 2 4 3 5 6
86,25,1,29247E-25,1 2 4 3 5 6
87,25,6,462349E-26,1 2 4 3 5 6
88,25,3,231174E-26,1 2 4 3 5 6
89,25,1,615587E-26,1 2 4 3 5 6
90,25,8,077936E-27,1 2 4 3 5 6
91,25,4,038968E-27,1 2 4 3 5 6
92,25,2,019484E-27,1 2 4 3 5 6
93,25,1,009742E-27,1 2 4 3 5 6
94,25,5,04871E-28,1 2 4 3 5 6
95,25,2,524355E-28,1 2 4 3 5 6
96,25,1,262177E-28,1 2 4 3 5 6
97,25,6,310887E-29,1 2 4 3 5 6
98,25,3,155444E-29,1 2 4 3 5 6
99,25,1,577722E-29,1 2 4 3 5 6
