Iteration,Cost,Temperature,Sequence
0,40,0,01,5 3 6 4 2 1
1,40,100,5 3 6 4 2 1
2,35,0,01,5 3 6 1 2 4
3,35,100,5 3 6 1 2 4
4,41,0,01,5 3 6 1 4 2
5,37,100,1 3 6 5 4 2
6,47,0,01,3 1 6 5 4 2
7,47,100,3 1 6 5 4 2
8,55,0,01,3 1 6 2 4 5
9,55,100,3 1 6 2 4 5
10,59,0,01,3 1 6 4 2 5
11,53,100,3 4 6 1 2 5
12,53,0,01,3 6 4 1 2 5
13,53,100,3 4 6 1 2 5
14,33,0,01,3 5 6 1 2 4
15,33,100,3 5 6 1 2 4
16,45,0,01,2 5 6 1 3 4
17,45,100,2 5 6 1 3 4
18,45,0,01,2 5 6 3 1 4
19,43,100,2 5 3 6 1 4
20,55,0,01,5 2 3 6 1 4
21,51,100,4 2 3 6 1 5
22,57,0,01,4 3 2 6 1 5
23,43,100,4 3 2 1 6 5
24,51,0,01,4 6 2 1 3 5
25,43,100,4 3 2 1 6 5
26,47,0,01,5 3 2 1 6 4
27,47,100,5 3 2 1 6 4
28,49,0,01,2 3 5 1 6 4
29,49,100,2 3 6 1 5 4
30,35,0,01,5 3 6 1 2 4
31,35,100,5 3 6 1 2 4
32,47,0,01,5 3 2 1 6 4
33,43,100,5 6 2 1 3 4
34,37,0,01,5 6 3 1 2 4
35,37,100,5 6 3 1 2 4
36,37,0,01,1 6 3 5 2 4
37,35,100,1 6 3 5 4 2
38,49,0,01,3 6 1 5 4 2
39,43,100,5 6 1 3 4 2
40,50,0,01,5 6 2 3 4 1
41,50,100,5 6 2 3 4 1
42,58,0,01,3 6 2 5 4 1
43,44,100,2 6 3 5 4 1
44,44,0,01,5 6 3 2 4 1
45,44,100,5 3 6 2 4 1
46,45,0,01,1 3 6 2 4 5
47,45,100,1 3 6 2 4 5
48,44,0,01,5 3 6 2 4 1
49,44,100,5 3 6 2 4 1
50,64,0,01,5 4 6 2 3 1
51,56,100,5 4 6 2 1 3
52,48,0,01,5 4 1 2 6 3
53,36,100,5 6 1 2 4 3
54,41,0,01,5 6 1 2 3 4
55,36,100,5 6 1 2 4 3
56,50,0,01,5 1 6 2 4 3
57,50,100,5 1 6 2 4 3
58,59,0,01,5 1 3 2 4 6
59,45,100,5 3 1 2 4 6
60,49,0,01,5 3 1 2 6 4
61,49,100,5 3 1 2 6 4
62,48,0,01,5 4 1 2 6 3
63,38,100,2 4 1 5 6 3
64,38,0,01,1 4 2 5 6 3
65,38,100,1 4 2 5 6 3
66,51,0,01,1 3 2 5 6 4
67,43,100,1 6 2 5 3 4
68,47,0,01,1 6 4 5 3 2
69,45,100,1 6 4 3 5 2
70,47,0,01,6 1 4 3 5 2
71,43,100,6 1 2 3 5 4
72,38,0,01,6 1 2 4 5 3
73,38,100,6 1 2 4 5 3
74,42,0,01,2 1 6 4 5 3
75,42,100,2 1 6 4 5 3
76,54,0,01,4 1 6 2 5 3
77,40,100,4 1 2 6 5 3
78,34,0,01,1 4 2 6 5 3
79,34,100,1 4 2 6 5 3
80,46,0,01,1 4 5 6 2 3
81,46,100,1 4 5 6 2 3
82,54,0,01,6 4 5 1 2 3
83,54,100,6 4 5 1 2 3
84,62,0,01,6 4 1 5 2 3
85,58,100,6 4 2 5 1 3
86,53,0,01,3 4 2 5 1 6
87,51,100,3 4 5 2 1 6
88,51,0,01,3 4 5 1 2 6
89,44,100,3 4 5 6 2 1
90,49,0,01,3 1 5 6 2 4
91,47,100,3 1 2 6 5 4
92,49,0,01,3 6 2 1 5 4
93,49,100,3 6 2 1 5 4
94,57,0,01,3 6 2 5 1 4
95,51,100,3 6 1 5 2 4
96,51,0,01,3 6 1 4 2 5
97,51,100,3 6 1 4 2 5
98,55,0,01,3 6 1 4 5 2
99,52,100,3 6 2 4 5 1
