Iteration,Cost,Sequence
1,81,9 8 4 7 1 11 5 6 2 12 3 10
2,75,9 8 4 6 1 11 5 7 2 12 3 10
3,75,9 4 8 6 1 11 5 7 2 12 3 10
4,75,9 4 8 6 1 11 5 7 2 12 3 10
5,75,9 4 8 6 1 11 5 7 2 12 3 10
6,74,9 4 8 6 1 11 5 10 2 12 3 7
7,74,9 4 8 6 1 11 5 10 2 12 3 7
8,74,9 4 8 6 1 11 5 10 2 12 3 7
9,74,9 4 8 6 1 12 5 10 2 11 3 7
10,74,9 4 8 6 1 12 5 10 2 11 3 7
11,74,9 4 8 6 1 12 5 10 2 11 3 7
12,74,9 4 8 6 1 12 5 10 2 11 3 7
13,74,9 4 8 6 1 12 5 10 2 11 3 7
14,74,9 4 8 6 1 12 5 10 2 11 3 7
15,74,9 4 8 6 1 12 5 10 2 11 3 7
16,74,9 4 8 6 1 12 5 10 2 11 3 7
17,74,9 4 8 6 1 12 5 10 3 11 2 7
18,70,9 4 8 2 1 12 5 10 3 11 6 7
19,70,9 4 8 2 1 12 5 10 3 11 6 7
20,70,9 4 8 2 1 12 5 10 3 11 6 7
21,70,9 4 8 2 1 12 5 10 3 11 6 7
22,62,9 4 8 2 1 10 5 12 3 11 6 7
23,62,9 4 8 2 1 10 5 12 3 11 6 7
24,62,9 4 8 2 1 10 5 12 3 11 6 7
25,62,9 4 8 2 1 10 5 12 3 11 6 7
26,62,9 4 8 2 1 10 5 12 3 11 6 7
27,62,9 4 8 2 1 10 5 12 3 11 6 7
28,62,9 4 8 2 1 10 5 12 3 11 6 7
29,62,9 4 8 2 1 10 5 12 3 11 6 7
30,62,9 4 8 2 1 10 5 12 3 11 6 7
31,62,9 4 8 2 1 10 5 12 3 11 6 7
32,62,9 4 8 2 1 10 5 12 3 11 6 7
33,58,9 4 8 2 1 10 5 3 12 11 6 7
34,58,9 4 8 2 1 10 5 3 12 11 6 7
35,58,9 4 8 2 1 10 5 3 12 11 6 7
36,58,9 4 8 2 1 10 5 3 12 11 6 7
37,58,9 4 8 2 1 10 5 3 12 11 6 7
38,58,9 4 8 2 1 10 5 3 12 11 6 7
39,58,9 4 8 2 1 10 5 3 12 11 6 7
40,58,9 4 8 2 1 10 5 3 12 11 6 7
41,58,9 4 8 2 1 10 5 3 12 11 6 7
42,58,9 4 8 2 1 10 5 3 12 11 6 7
43,58,9 4 8 2 1 10 5 3 12 11 6 7
44,58,9 4 8 2 1 10 5 3 12 11 6 7
45,58,9 4 8 2 1 10 5 3 12 11 6 7
46,58,9 4 8 2 1 10 5 3 12 11 6 7
47,58,9 4 8 2 1 10 5 3 12 11 6 7
48,58,9 4 8 2 1 10 5 3 12 11 6 7
49,58,9 4 8 2 1 10 5 3 12 11 6 7
50,58,9 4 8 2 1 10 5 3 12 11 6 7
51,54,9 4 11 2 1 10 5 3 12 8 6 7
52,54,9 4 11 2 1 10 5 3 12 8 6 7
53,54,9 4 11 2 1 10 5 3 12 8 6 7
54,54,9 4 11 2 1 10 5 3 12 8 6 7
55,54,9 4 11 2 1 10 5 3 12 8 6 7
56,54,9 4 11 2 1 10 5 3 12 8 6 7
57,54,9 4 11 2 1 10 5 3 12 8 6 7
58,54,9 4 11 2 1 10 5 3 12 8 6 7
59,54,9 4 11 2 1 10 5 3 12 8 6 7
60,54,9 4 11 2 1 10 5 3 12 8 6 7
61,54,9 4 11 2 1 10 5 3 12 8 6 7
62,54,9 4 11 2 1 10 5 3 12 8 6 7
63,54,9 4 11 2 1 10 5 3 12 8 6 7
64,54,9 4 11 2 1 10 5 3 12 8 6 7
65,54,9 4 11 2 1 10 5 3 12 8 6 7
66,54,9 4 11 2 1 10 5 3 12 8 6 7
67,54,9 4 11 2 1 10 5 3 12 8 6 7
68,54,9 4 11 2 1 10 5 3 12 8 6 7
69,54,9 4 11 2 1 10 5 3 12 8 6 7
70,54,9 4 11 2 1 10 5 3 12 8 6 7
71,52,9 4 11 2 7 10 5 3 12 8 6 1
72,52,9 4 11 2 7 10 5 3 12 8 6 1
73,52,9 4 11 2 7 10 5 3 12 8 6 1
74,52,9 4 11 2 7 10 5 3 12 8 6 1
75,52,9 4 11 2 7 10 5 3 12 8 6 1
76,52,9 4 11 2 7 10 5 3 12 8 6 1
77,52,9 4 11 2 7 10 5 3 12 8 6 1
78,52,9 4 11 2 7 10 5 3 12 8 6 1
79,52,9 4 11 2 7 10 5 3 12 8 6 1
80,52,9 4 11 2 7 10 5 3 12 8 6 1
81,52,9 4 11 2 7 10 5 3 12 8 6 1
82,52,9 4 11 2 7 10 5 3 12 8 6 1
83,48,9 4 11 6 7 10 5 3 12 8 2 1
84,48,9 4 11 6 7 10 5 3 12 8 2 1
85,48,9 4 11 6 7 10 5 3 12 8 2 1
86,48,9 4 11 6 7 10 5 3 12 8 2 1
87,48,9 4 11 6 7 10 5 3 12 8 2 1
88,48,9 4 11 6 7 10 5 3 12 8 2 1
89,48,9 4 11 6 7 10 5 3 12 8 2 1
90,48,9 4 11 6 7 10 5 3 12 8 2 1
91,47,9 1 11 6 7 10 5 3 12 8 2 4
92,47,9 1 11 6 7 10 5 3 12 8 2 4
93,47,9 1 11 6 7 10 5 3 12 8 2 4
94,47,9 1 11 6 7 10 5 3 12 8 2 4
95,47,9 1 11 6 7 10 5 3 12 8 2 4
96,47,9 1 11 6 7 10 5 3 12 8 2 4
97,47,9 1 11 6 7 10 5 3 12 8 2 4
98,47,9 1 11 6 7 10 5 3 12 8 2 4
99,47,9 1 11 6 7 10 5 3 12 8 2 4
100,47,9 1 11 6 7 10 5 3 12 8 2 4
101,47,9 1 11 6 7 10 5 3 12 8 2 4
102,47,9 1 11 6 7 10 5 3 12 8 2 4
103,47,9 1 11 6 7 10 5 3 12 8 2 4
104,47,9 1 11 6 7 10 5 3 12 8 2 4
105,47,9 1 11 6 7 10 5 3 12 8 2 4
106,47,9 1 11 6 7 10 5 3 12 8 2 4
107,47,9 1 11 6 7 10 5 3 12 8 2 4
108,37,9 1 2 6 7 10 5 3 12 8 11 4
109,37,9 1 2 6 7 10 5 3 12 8 11 4
110,37,9 1 2 6 7 10 5 3 12 8 11 4
111,37,9 1 2 6 7 10 5 3 12 8 11 4
112,37,9 1 2 6 7 10 5 3 12 8 11 4
113,36,9 1 2 6 7 10 5 3 12 8 4 11
114,36,9 1 2 6 7 10 5 3 12 8 4 11
115,36,9 1 2 6 7 10 5 3 12 8 4 11
116,36,9 1 2 6 7 10 5 3 12 8 4 11
117,36,9 1 2 6 7 10 5 3 12 8 4 11
118,36,9 1 2 6 7 10 5 3 12 8 4 11
119,36,9 1 2 6 7 10 5 3 12 8 4 11
120,36,9 1 2 6 7 10 5 3 12 8 4 11
121,36,9 1 2 6 7 10 5 3 12 8 4 11
122,36,9 1 2 6 7 10 5 3 12 8 4 11
123,36,9 1 2 6 7 10 5 3 12 8 4 11
124,36,9 1 2 6 7 10 5 3 12 8 4 11
125,36,9 1 2 6 7 10 5 3 12 8 4 11
126,36,9 1 2 6 7 10 5 3 12 8 4 11
127,36,9 1 2 6 7 10 5 3 12 8 4 11
128,36,9 1 2 6 7 10 5 3 12 8 4 11
129,36,9 1 2 6 7 10 5 3 12 8 4 11
130,36,9 1 2 6 7 10 5 3 12 8 4 11
131,36,9 1 2 6 7 10 5 3 12 8 4 11
132,36,9 1 2 6 7 10 5 3 12 8 4 11
133,36,9 1 2 6 7 10 5 3 12 8 4 11
134,36,9 1 2 6 7 10 5 3 12 8 4 11
135,36,9 1 2 6 7 10 5 3 12 8 4 11
136,36,9 1 2 6 7 10 5 3 12 8 4 11
137,36,9 1 2 6 7 10 5 3 12 8 4 11
