Iteration,Cost,Sequence
1,17,2 3 1
2,17,2 3 1
3,26,1 2 3
4,17,2 3 1
5,27,3 2 1
6,22,2 1 3
7,27,3 2 1
8,22,2 1 3
9,27,3 2 1
10,22,2 1 3
11,21,1 3 2
12,27,3 2 1
13,26,1 2 3
14,17,2 3 1
15,22,2 1 3
16,17,2 3 1
17,21,1 3 2
18,21,1 3 2
19,17,2 3 1
20,17,2 3 1
21,27,3 2 1
22,27,3 1 2
23,26,1 2 3
24,27,3 2 1
25,27,3 2 1
26,26,1 2 3
27,17,2 3 1
28,17,2 3 1
29,21,1 3 2
30,27,3 2 1
31,26,1 2 3
32,26,1 2 3
33,27,3 1 2
34,22,2 1 3
35,17,2 3 1
36,26,1 2 3
37,27,3 2 1
38,27,3 2 1
39,21,1 3 2
40,26,1 2 3
41,21,1 3 2
42,21,1 3 2
43,17,2 3 1
44,22,2 1 3
45,21,1 3 2
46,27,3 2 1
47,21,1 3 2
48,21,1 3 2
49,21,1 3 2
50,22,2 1 3
51,22,2 1 3
52,22,2 1 3
53,21,1 3 2
54,22,2 1 3
55,21,1 3 2
56,17,2 3 1
57,27,3 2 1
58,17,2 3 1
59,21,1 3 2
60,27,3 1 2
61,26,1 2 3
62,17,2 3 1
63,22,2 1 3
64,22,2 1 3
65,21,1 3 2
66,17,2 3 1
67,26,1 2 3
68,22,2 1 3
69,27,3 2 1
70,26,1 2 3
71,17,2 3 1
72,26,1 2 3
73,27,3 2 1
74,27,3 1 2
75,27,3 1 2
76,26,1 2 3
77,27,3 2 1
78,27,3 1 2
79,22,2 1 3
80,22,2 1 3
81,22,2 1 3
82,27,3 1 2
83,27,3 1 2
84,22,2 1 3
85,22,2 1 3
86,27,3 2 1
87,22,2 1 3
88,22,2 1 3
89,17,2 3 1
90,27,3 1 2
91,21,1 3 2
92,21,1 3 2
93,26,1 2 3
94,21,1 3 2
95,27,3 2 1
96,22,2 1 3
97,17,2 3 1
98,27,3 1 2
99,21,1 3 2
100,21,1 3 2
